state,x,y
Himachal Pradesh,-108,226
Uttarakhand,-66,182
Uttar Pradesh,-42,114
Punjab,-146,199
Haryana,-122,160
Madhya Pradesh,-84,12
Rajasthan,-198,95
Gujarat,-246,2
Bihar,74,73
Jharkhand,65,20
West Bengal,116,16
Sikkim,129,122
Assam,217,105
Meghalaya,179,78
Arunachal Pradesh,253,160
Nagaland,255,97
Manipur,244,58
Mizoram,225,26
Tripura,199,32
Odisha,61,-45
Chhattisgarh,-4,-27
Andhra Pradesh,-74,-177
Telangana,-73,-119
Tamilnadu,-84,-277
Kerala,-132,-291
Goa,-187,-172
Karnataka,-145,-186
Maharashtra,-162,-82
